what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314471152262
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1314471196893
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1314471199040
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1314471199302
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314471291660
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314471299507
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314473104537
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314473108002
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1314473115697
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1314473122419
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314473122434
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314473128302
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314473128988
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314473176478
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314473965716
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314474409897
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1314474446869
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314474446883
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314474451295
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314474451939
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314474475022
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314500607007
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1314500620370
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314500623215
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314500637943
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314500641142
